FASTA文件名	序列记录ID	长度(aa)	专利/家族	申请人/权利人	蛋白/构建体	产品/用途	对应市场批号/监管状态（核查至2026-08-05）	安全性与功能性检验概述	最高证据标签	FASTA可查询/下载	PDB/CIF accession	专利来源URL	监管/外部证据URL	结论置信度/限定
YUSONG_SF10_SEQID2_38aa.fasta	YUSONG_SF10_SEQID2_38aa	38	CN121108286A	上海羽松生物科技有限公司	短重组丝素蛋白SF-4/SF-10	化妆品原料/皮肤护理配方候选。	申请公开、未授权状态；未核实到与两条序列明确对应的监管批号。化妆品备案不等于药品/器械批准。	专利报告细胞/皮肤功效相关实验；没有材料承载或完整丝素纤维结构证据。	E2	是；fasta_downloads/YUSONG_SF10_SEQID2_38aa.fasta	未检出SF-4/SF-10精确构建体PDB/CIF	https://patents.google.com/patent/CN121108286A/en		中
BOLT_18B_repeat_SEQID2_315aa.fasta	BOLT_18B_repeat_SEQID2_315aa	315	US20240050352A1	Bolt Threads, Inc.	重组蜘蛛丝蛋白18B	个人护理粉体、成膜/屏障型护肤配方。	专利申请公开、未授权；未核实到药品/器械批准号。美国普通化妆品通常无FDA上市前批准号。	成膜、显微、屏障/力学测试及小规模人体化妆品使用研究；专利内证据，非受控注册性临床。	E4	是；fasta_downloads/BOLT_18B_repeat_SEQID2_315aa.fasta	未检出18B精确构建体PDB/CIF	https://patents.google.com/patent/US20240050352A1/en	https://www.fda.gov/cosmetics/cosmetics-labeling/cosmetics-labeling-claims	高（专利）；高（监管制度）
BOLT_18B_SEQID1_945aa.fasta	BOLT_18B_SEQID1_945aa	945	US20240050352A1	Bolt Threads, Inc.	重组蜘蛛丝蛋白18B	个人护理粉体、成膜/屏障型护肤配方。	专利申请公开、未授权；未核实到药品/器械批准号。美国普通化妆品通常无FDA上市前批准号。	成膜、显微、屏障/力学测试及小规模人体化妆品使用研究；专利内证据，非受控注册性临床。	E4	是；fasta_downloads/BOLT_18B_SEQID1_945aa.fasta	未检出18B精确构建体PDB/CIF	https://patents.google.com/patent/US20240050352A1/en	https://www.fda.gov/cosmetics/cosmetics-labeling/cosmetics-labeling-claims	高（专利）；高（监管制度）
eADF4_C16_repeat_unit_35aa.fasta	eADF4_C16_repeat_unit_35aa	35	WO2006008163A2 / US7951908B2; use: WO2020214854A1	AMSilk / Evolved By Nature相关主体	eADF4(C16)工程蜘蛛丝蛋白	工程丝蛋白材料；后续用于头发护理/化妆品配方。	未核实到药品/器械批准号；普通化妆品通常无FDA上市前批准。	盐/pH诱导纤维化、自组装、成膜与头发束/材料测试；主要为无细胞或离体材料实验。	E1	是；fasta_downloads/eADF4_C16_repeat_unit_35aa.fasta	未检出560 aa C16完整构建体的实验PDB/CIF	https://patents.google.com/patent/US7951908B2/en	https://www.fda.gov/industry/fda-basics-industry/does-fda-approve-cosmetics-they-go-market	高
eADF4_C16_560aa.fasta	eADF4_C16_560aa	560	WO2006008163A2 / US7951908B2; use: WO2020214854A1	AMSilk / Evolved By Nature相关主体	eADF4(C16)工程蜘蛛丝蛋白	工程丝蛋白材料；后续用于头发护理/化妆品配方。	未核实到药品/器械批准号；普通化妆品通常无FDA上市前批准。	盐/pH诱导纤维化、自组装、成膜与头发束/材料测试；主要为无细胞或离体材料实验。	E1	是；fasta_downloads/eADF4_C16_560aa.fasta	未检出560 aa C16完整构建体的实验PDB/CIF	https://patents.google.com/patent/US7951908B2/en	https://www.fda.gov/industry/fda-basics-industry/does-fda-approve-cosmetics-they-go-market	高
FHLC_SEQ_ID_NO_1.fasta	FHLC_SEQ_ID_NO_1	1071	CN1371919A / CN1196712C / WO2003106494A1; use CN102351954A/B	陕西巨子生物技术有限公司相关平台	类人胶原蛋白 FHLC 1071 aa	可复美类人胶原蛋白敷料等重组胶原皮肤修复产品。	是（相关平台产品）：可复美类人胶原蛋白敷料2011年获II类器械注册；现行公开记录示例陕械注准20152140026。序列与现行每一产品批次同一性需企业确认。	专利含表达纯化、材料/细胞与创面修复用途；上市器械用于术后创面环境及炎症/修复管理，具人体使用与监管证据。	E5	是；fasta_downloads/FHLC_SEQ_ID_NO_1.fasta	未检出FHLC 1071 aa精确构建体公开PDB/CIF	https://patents.google.com/patent/CN1371919A/en	https://www.xajuzi.com/cover-h6rv6dj1/kfm?lang=zh-hk	高（平台上市）；中（序列到产品映射）
未取得（专利有SEQ listing或天然基因，但未安全转录）			CN114805551A/B / WO2024002149	华熙生物科技（天津）有限公司等	重组人胶原III片段组合 COL1/COL2/COL3	专利拟用于化妆品、医用材料/修复材料；核查范围内未找到能与SEQ ID 1–3明确一一对应的公开医疗器械批号。	未核实到该专利构建体的对应批号；化妆品上市不等同于药品/器械批准。	Pichia表达、SDS-PAGE/蛋白定量及构建体比较；未见足以确认天然三螺旋/人体安全性的公开原子级或受控临床证据。	E1	否；见“序列缺口”说明	未检出该专利构建体的公开PDB/CIF	https://patents.google.com/patent/CN114805551B/en		中
未取得（专利有SEQ listing或天然基因，但未安全转录）			CN116574172A/B	广州暨南大学医药生物技术研发中心有限公司	重组人I型胶原来源蛋白	拟用于胶原材料、化妆品/医疗材料；未核实到与专利SEQ ID明确对应的产品批号。	未核实到对应批号。	表达与纯化；低温不溶/纤维形成、室温复溶等体外相行为观察；不足以证明天然I型胶原纤维。	E1	否；见“序列缺口”说明	未检出该专利构建体的公开PDB/CIF	https://patents.google.com/patent/CN116574172B/en		中
未取得（专利有SEQ listing或天然基因，但未安全转录）			CN116640231A/B	广州暨南大学医药生物技术研发中心有限公司	COL17A1胞内结构域重组蛋白	研究/原料候选；不是胶原三螺旋支架。	未核实到对应批号。	E. coli表达、载体与纯化等体外实验；未见人体或动物功能验证。	E1	否；见“序列缺口”说明	未检出该专利构建体的公开PDB/CIF	https://patents.google.com/patent/CN116640231B/en		中
未取得（专利有SEQ listing或天然基因，但未安全转录）			US5593859A	Thomas Jefferson University; Academy of Finland; FibroGen	与脯氨酰-4-羟化酶共表达的全长人胶原I/II/III	原生样重组胶原生产平台/研究材料；不是单一获批成品。	未核实到该专利直接对应的成品批号；专利已到期但不代表产品获批。	Sf9/酵母等表达、P4H共表达、羟脯氨酸/热稳定三螺旋等体外生化表征。	E1	否；见“序列缺口”说明	天然人COL1A1/1A2/2A1/3A1有UniProt序列；本专利生产物无唯一构建体PDB	https://patents.google.com/patent/US5593859A/en		高
未取得（专利有SEQ listing或天然基因，但未安全转录）			CN117683116B	百葵锐生物科技（浙江）有限公司	重组人弹性蛋白来源蛋白	弹性蛋白化妆品/生物材料原料候选。	专利已授权；未核实到该SEQ构建体对应批号。	表达纯化及体外理化/细胞功效实验；缺少公开受控临床与上市后安全数据。	E2	否；见“序列缺口”说明	未检出该专利构建体公开PDB/CIF	https://patents.google.com/patent/CN117683116B/en		中
未取得（专利有SEQ listing或天然基因，但未安全转录）			US20250257107A1	Geltor, Inc.	重组角蛋白及融合蛋白	头发护理、成膜/调理个人护理原料。	申请公开、待审；未核实到药品/器械批准号。普通化妆品无FDA上市前批准。	发束结合、成膜/调理等离体或体外功能测试；构建体众多，需按SEQ ID核对。	E1	否；见“序列缺口”说明	未检出专利具体融合构建体的公开PDB/CIF	https://patents.google.com/patent/US20250257107A1/en	https://www.fda.gov/cosmetics/cosmetics-labeling/cosmetics-labeling-claims	中
未取得（多分散混合物，无单一序列）			US9517191B2 / WO2020214854A1	Evolved By Nature相关主体	稳定丝素蛋白片段混合物	头发/皮肤护理丝蛋白混合物	未核实到药品/器械批准号；普通化妆品无FDA上市前批准。	分子量分布、配方/头发材料测试；非单一构建体。	E1	否：产品是混合物	不适用	https://patents.google.com/patent/US9517191B2/en	https://www.fda.gov/cosmetics/cosmetics-labeling/cosmetics-labeling-claims	高
未取得（无产品特异单一序列）			WO2010001417A2/A3	BIOEFFECT相关主体	植物表达生长因子或混合物	植物来源生长因子护肤品	产品可商业销售，但未核实到药品/器械批准号；普通化妆品不等于获批。	表达/纯化与细胞功能相关证据；专利未给唯一商业构建体。	E2	否：无唯一商业序列	可查天然生长因子结构，但不能代表商业混合物	https://patents.google.com/patent/WO2010001417A2/en	https://www.fda.gov/industry/fda-basics-industry/does-fda-approve-cosmetics-before-they-go-market	中
未取得（条件培养基/分泌组混合物）			US8518879B2 / WO2012121695A1	SkinMedica相关主体	成纤维细胞条件培养基/分泌组	TNS类皮肤护理产品	商业化化妆品；未核实到药品/器械批准号。	细胞培养、分泌因子表征及人体护肤使用/研究；无单一蛋白可归因。	E4	否：复杂混合物	不适用	https://patents.google.com/patent/US8518879B2/en	https://www.fda.gov/cosmetics/cosmetics-labeling/cosmetics-labeling-claims	中
未取得（动物源胶原混合物，非专利重组构建体）			监管比较项：Bellafill, P020012	Tiger Aesthetics Medical / 原Suneva	牛胶原载体+PMMA微球	Bellafill真皮填充剂	是：FDA PMA P020012；痤疮瘢痕适应证补充P020012/S009。	理化、生物相容性、动物/临床及上市后不良事件监测；存在肉芽肿等已知风险。	E5	可查牛COL1天然序列，但不等同于成品	无成品单一PDB	https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?PMANumber=P020012&SupplementNumber=&start_search=1	https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=350569	高
未纳入下载（高风险受监管神经毒素）			监管比较项：BOTOX Cosmetic BL 103000/5000	AbbVie/Allergan	onabotulinumtoxinA复合制剂	BOTOX Cosmetic注射用冻干制剂	是：FDA生物制品许可补充BL 103000/5000（2002起，后续适应证/标签更新）。	效价与毒理、动物、受控临床、药物警戒/上市后报告；带远端毒素扩散黑框警告。	E5	公共序列存在，但因高风险不随包下载	天然/毒素结构条目众多；不指定为商业复合制剂结构	https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2002/botuall041202L.htm	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/103000s5316s5319s5323s5326s5331lbl.pdf	高
